"subject","danish","trial","colour1","colour2","col1_name","col2_name","colour_distance","category","accuracy","rt"
31,"Yes",83,"[1, -1.0, -1.0]","[1, -0.4, 0.19999999999999996]","red","pink",1.2,"across",1,441.314886993496
31,"Yes",84,"[1, -0.775, -0.55]","[1, -0.625, -0.25]","red","pink",0.3,"across",1,624.278807998053
31,"Yes",85,"[1, -0.7, -0.4]","[1, -0.85, -0.7]","pink","red",0.3,"across",1,529.943849993288
31,"Yes",86,"[1, -0.85, -0.7]","[1, -0.775, -0.55]","red","red",0.15,"within",1,878.75055600307
31,"Yes",87,"[1, -0.625, -0.25]","[1, -0.475, 0.050000000000000044]","pink","pink",0.3,"within",1,504.267158001312
31,"Yes",88,"[1, -0.475, 0.050000000000000044]","[1, -0.4, 0.19999999999999996]","pink","pink",0.15,"within",1,1754.79911000002
31,"Yes",89,"[1, -0.775, -0.55]","[1, -0.4, 0.19999999999999996]","red","pink",0.75,"across",1,814.876787990215
31,"Yes",90,"[1, -0.625, -0.25]","[1, -1.0, -1.0]","pink","red",0.75,"across",1,868.293936000555
31,"Yes",91,"[1, -0.55, -0.10000000000000009]","[1, -0.625, -0.25]","pink","pink",0.15,"within",1,1028.96041599161
31,"Yes",92,"[1, -0.475, 0.050000000000000044]","[1, -0.32500000000000007, 0.34999999999999987]","pink","pink",0.3,"within",1,605.686987997615
31,"Yes",93,"[1, -0.775, -0.55]","[1, -0.475, 0.050000000000000044]","red","pink",0.6,"across",1,540.370577989961
31,"Yes",95,"[1, -1.0, -1.0]","[1, -0.85, -0.7]","red","red",0.3,"within",1,973.038320007618
31,"Yes",96,"[1, -0.4, 0.19999999999999996]","[1, -1.0, -1.0]","pink","red",1.2,"across",1,594.364144999417
31,"Yes",97,"[1, -0.775, -0.55]","[1, -0.925, -0.85]","red","red",0.3,"within",1,627.800757996738
31,"Yes",98,"[1, -0.925, -0.85]","[1, -0.7, -0.4]","red","pink",0.45,"across",1,513.689025989152
31,"Yes",99,"[1, -1.0, -1.0]","[1, -0.4, 0.19999999999999996]","red","pink",1.2,"across",1,504.481643991312
31,"Yes",100,"[1, -0.475, 0.050000000000000044]","[1, -0.925, -0.85]","pink","red",0.9,"across",1,447.640293001314
31,"Yes",101,"[1, -0.775, -0.55]","[1, -0.4, 0.19999999999999996]","red","pink",0.75,"across",1,569.596251007169
31,"Yes",102,"[1, -0.85, -0.7]","[1, -0.475, 0.050000000000000044]","red","pink",0.75,"across",1,464.649670000654
31,"Yes",103,"[1, -0.775, -0.55]","[1, -0.625, -0.25]","red","pink",0.3,"across",1,667.925944013405
