,subject,danish,trial,colour1,colour2,col1_name,col2_name,colour_distance,category,accuracy,rt
127,PernilleKJ,Yes,128,"[1, -0.4, 0.19999999999999996]","[1, -0.925, -0.85]",pink,red,1.0499999999999998,across,1,763.5654279729351
128,PernilleKJ,Yes,129,"[1, -0.925, -0.85]","[1, -0.85, -0.7]",red,red,0.15000000000000002,within,1,942.9087879834697
129,PernilleKJ,Yes,130,"[1, -0.775, -0.55]","[1, -0.4, 0.19999999999999996]",pink,pink,0.75,within,1,913.2131790393032
130,PernilleKJ,Yes,131,"[1, -0.85, -0.7]","[1, -1.0, -1.0]",red,red,0.30000000000000004,within,1,759.9936510086991
131,PernilleKJ,Yes,132,"[1, -1.0, -1.0]","[1, -0.475, 0.050000000000000044]",red,pink,1.05,across,1,665.6953370547853
132,PernilleKJ,Yes,133,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.775, -0.55]",pink,pink,0.8999999999999999,within,1,691.8240770464763
133,PernilleKJ,Yes,134,"[1, -0.475, 0.050000000000000044]","[1, -0.625, -0.25]",pink,pink,0.30000000000000004,within,1,592.5807520397939
134,PernilleKJ,Yes,135,"[1, -0.85, -0.7]","[1, -0.925, -0.85]",red,red,0.15000000000000002,within,0,1447.2979909623973
135,PernilleKJ,Yes,136,"[1, -0.85, -0.7]","[1, -0.475, 0.050000000000000044]",red,pink,0.75,across,1,909.7275609965436
136,PernilleKJ,Yes,137,"[1, -0.85, -0.7]","[1, -0.4, 0.19999999999999996]",red,pink,0.8999999999999999,across,1,467.06112602259964
137,PernilleKJ,Yes,138,"[1, -0.475, 0.050000000000000044]","[1, -1.0, -1.0]",pink,red,1.05,across,1,653.7040449911729
138,PernilleKJ,Yes,139,"[1, -0.475, 0.050000000000000044]","[1, -0.85, -0.7]",pink,red,0.75,across,1,1041.5715930284932
139,PernilleKJ,Yes,140,"[1, -0.925, -0.85]","[1, -0.475, 0.050000000000000044]",red,pink,0.9,across,1,855.6063870200887
140,PernilleKJ,Yes,141,"[1, -0.625, -0.25]","[1, -0.4, 0.19999999999999996]",pink,pink,0.44999999999999996,within,1,586.9511660421267
141,PernilleKJ,Yes,142,"[1, -0.775, -0.55]","[1, -0.925, -0.85]",pink,red,0.29999999999999993,across,1,579.8251400119625
142,PernilleKJ,Yes,143,"[1, -0.55, -0.10000000000000009]","[1, -1.0, -1.0]",pink,red,0.8999999999999999,across,1,473.55882095871493
143,PernilleKJ,Yes,144,"[1, -0.775, -0.55]","[1, -0.625, -0.25]",pink,pink,0.30000000000000004,within,1,510.08692296454683
144,PernilleKJ,Yes,145,"[1, -0.7, -0.4]","[1, -0.625, -0.25]",pink,pink,0.15000000000000002,within,1,449.72489698557183
145,PernilleKJ,Yes,146,"[1, -0.4, 0.19999999999999996]","[1, -0.55, -0.10000000000000009]",pink,pink,0.30000000000000004,within,1,788.7966900016181
146,PernilleKJ,Yes,147,"[1, -0.55, -0.10000000000000009]","[1, -0.4, 0.19999999999999996]",pink,pink,0.30000000000000004,within,1,540.1035550166853
147,PernilleKJ,Yes,148,"[1, -0.55, -0.10000000000000009]","[1, -0.775, -0.55]",pink,pink,0.44999999999999996,within,1,508.3001750172116
148,PernilleKJ,Yes,149,"[1, -1.0, -1.0]","[1, -0.7, -0.4]",red,pink,0.6,across,1,477.8283360064961
149,PernilleKJ,Yes,150,"[1, -0.925, -0.85]","[1, -0.32500000000000007, 0.34999999999999987]",red,pink,1.1999999999999997,across,1,579.6577490400523
150,PernilleKJ,Yes,151,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.85, -0.7]",pink,red,1.0499999999999998,across,1,656.8024209700525
151,PernilleKJ,Yes,152,"[1, -0.925, -0.85]","[1, -1.0, -1.0]",red,red,0.15000000000000002,within,1,1050.9277789969929
152,PernilleKJ,Yes,153,"[1, -0.55, -0.10000000000000009]","[1, -0.85, -0.7]",pink,red,0.5999999999999999,across,1,1011.5288710221648
153,PernilleKJ,Yes,154,"[1, -0.85, -0.7]","[1, -0.625, -0.25]",red,pink,0.44999999999999996,across,1,839.5894099958241
154,PernilleKJ,Yes,155,"[1, -0.775, -0.55]","[1, -0.475, 0.050000000000000044]",pink,pink,0.6000000000000001,within,1,550.5525339976884
155,PernilleKJ,Yes,156,"[1, -0.4, 0.19999999999999996]","[1, -0.625, -0.25]",pink,pink,0.44999999999999996,within,1,841.8945060111582
156,PernilleKJ,Yes,157,"[1, -0.4, 0.19999999999999996]","[1, -0.775, -0.55]",pink,pink,0.75,within,1,680.4459909908473
157,PernilleKJ,Yes,158,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.4, 0.19999999999999996]",pink,pink,0.1499999999999999,within,0,1541.819209989626
158,PernilleKJ,Yes,159,"[1, -0.475, 0.050000000000000044]","[1, -0.775, -0.55]",pink,pink,0.6000000000000001,within,1,1229.5145940151997
159,PernilleKJ,Yes,160,"[1, -0.625, -0.25]","[1, -0.7, -0.4]",pink,pink,0.15000000000000002,within,1,825.3852510242723
160,PernilleKJ,Yes,161,"[1, -0.775, -0.55]","[1, -0.85, -0.7]",pink,red,0.1499999999999999,across,0,2262.416140001733
161,PernilleKJ,Yes,162,"[1, -0.85, -0.7]","[1, -0.775, -0.55]",red,pink,0.1499999999999999,across,1,979.2334829689935
